Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus
SlotCrawler,Main Game,2026-06-26,Red Squirrel Games,,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Indie, Arcade",Fantasy,"slot machine, dungeon crawling, roguelite, deck-building",N/A,N/A,N/A,N/A,Non-Steam PC Game
As:9-nine- Arteisia,Main Game,2026-06-26,PALETTE,PALETTE,PC (Microsoft Windows),Visual Novel,,,https://www.youtube.com/watch?v=GyVqTuc0GcA,73229,2376,2026-04-30,Non-Steam PC Game
Redstream,Main Game,2026-06-26,,,PC (Microsoft Windows),Simulator,"Action, Horror","steam achievements, ai-generated artwork, ai-generated voices, ai-generated concepts, nextfest february 2026",N/A,N/A,N/A,N/A,PC Game (on Steam)
Magalumina,Main Game,2026-06-26,Purple Software,Purple Software,PC (Microsoft Windows),Visual Novel,"Action, Science fiction, Erotic, Romance",,https://www.youtube.com/watch?v=IswAvYjOZTg,57793,1251,2026-02-26,Non-Steam PC Game
Toshiue Kanojo 2,Main Game,2026-06-26,AZARASHI SOFTWARE,AZARASHI SOFTWARE,PC (Microsoft Windows),Visual Novel,"Erotic, Romance",,https://www.youtube.com/watch?v=joyY_vs4TR8,17796,541,2026-04-16,Non-Steam PC Game
Stray Sheep vs. Unreal Killers,Main Game,2026-06-26,MOONSTONE,MOONSTONE,PC (Microsoft Windows),Visual Novel,"Action, Erotic, Mystery",,https://www.youtube.com/watch?v=b_v7jhcYBRA,4470,104,2026-03-05,Non-Steam PC Game
IronWood,Main Game,2026-06-26,CheeseStick Studios,CheeseStick Studios,PC (Microsoft Windows),"Shooter, Indie",Action,boomer shooter,https://www.youtube.com/watch?v=CP9lclJqg44,52,2,2026-01-27,PC Game (Verification Error)
Wizard 64,Main Game,2026-06-26,,,PC (Microsoft Windows),"Role-playing (RPG), Indie",Action,nextfest february 2026,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Cure for Danmaku Synd,Main Game,2026-06-26,ToAge,,PC (Microsoft Windows),"Shooter, Simulator, Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Colorace,Main Game,2026-06-26,,,PC (Microsoft Windows),"Puzzle, Racing, Strategy, Indie",,ai-generated music,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Template!!: An Angel’s Gift,Main Game,2026-06-26,Circus,Kagami Games,PC (Microsoft Windows),Visual Novel,,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Eyes of the ElderWood,Main Game,2026-06-26,Virtual Sanctuary,Forever Entertainment S.A.,"Xbox Series X|S, Linux, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Shooter, Adventure, Indie","Action, Horror","psychological horror, female protagonist, slavic folklore, nextfest october 2025",https://www.youtube.com/watch?v=Rqvt76aqL9Y,6834,14,2026-05-26,PC Game (Verification Error)
Clover's Quadrants,Main Game,2026-06-26,,,PC (Microsoft Windows),"Puzzle, Indie",,"steam achievements, accessibility options, save anytime, color alternatives, playable without timed input, custom volume controls, keyboard only option, nextfest february 2026",https://www.youtube.com/watch?v=EP-BV5UCpVc,308,15,2026-05-28,PC Game (Verification Error)
Knockout Battle,Main Game,2026-06-26,,,"Linux, PC (Microsoft Windows)","Fighting, Simulator, Indie","Action, Sandbox, Party","funny, explosion, explosives, chaotic, chaos, explosive, online party game, multiplayer",https://www.youtube.com/watch?v=HesrPER1pzc,156,33,2026-03-27,PC Game (Verification Error)
Moonlight Knight,Main Game,2026-06-28,"MyDreamForever, Tazdraperm",MyDreamForever,PC (Microsoft Windows),"Hack and slash/Beat 'em up, Adventure, Indie",Action,pixel graphics,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Integrity,Main Game,2026-06-28,,,PC (Microsoft Windows),"Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie",Fantasy,turn-based tactics,https://www.youtube.com/watch?v=vsf0pLaaJ_M,67,2,2026-01-26,PC Game (Verification Error)
"Welcome, Sharehouse!",Main Game,2026-06-28,,,PC (Microsoft Windows),"Simulator, Adventure, Indie",,nextfest june 2025,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Backrooms Anomaly,Main Game,2026-06-28,liminal_games,liminal_games,PC (Microsoft Windows),"Puzzle, Simulator, Adventure, Indie","Horror, Mystery","exploration, psychological horror, 3d, cinematic, modern, walking simulator, funny, atmospheric, surreal, psychological, realistic, immersive, anomaly hunt",https://www.youtube.com/watch?v=xt--wyrTlhY,464,4,2025-01-26,PC Game (Verification Error)
Calmed by the Dαrk,Main Game,2026-06-29,Calmed by the Dark Games,Calmed by the Dark Games,PC (Microsoft Windows),"Role-playing (RPG), Indie","Action, Fantasy","pixel art, pixel graphics",https://www.youtube.com/watch?v=2sN3_ndpSNw,21,4,2026-03-31,PC Game (Verification Error)
Peacemaker: Bloody Emperor,Main Game,2026-06-30,Sounding Stone,Sounding Stone,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",Fantasy,"female protagonist, turn-based combat",https://www.youtube.com/watch?v=_pbRPtrpsQE,1710,45,2023-09-05,PC Game (on Steam)
Coring,Main Game,2026-06-30,Kind Core Games,Kind Core Games,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Indie",,,https://www.youtube.com/watch?v=q63KjkyDgt8,219,9,2025-03-26,PC Game (on Steam)
Redemption of the Damned,Main Game,2026-06-30,MIROWIN,Blowfish Studios,PC (Microsoft Windows),"Adventure, Indie","Action, Horror","monsters, mythology",https://www.youtube.com/watch?v=m98y_iqkQ9U,2318,42,2021-05-13,PC Game (on Steam)
Piñata Puppy World,Main Game,2026-06-30,Real Time Studio,Real Time Studio,PC (Microsoft Windows),"Simulator, Adventure, Indie",,steam families,https://www.youtube.com/watch?v=tnbYAgLfl6U,1811584,98033,2025-02-02,PC Game (on Steam)
FFA Cards,Main Game,2026-06-30,,,PC (Microsoft Windows),"Strategy, Card & Board Game",Fantasy,nextfest june 2025,N/A,N/A,N/A,N/A,Non-Steam PC Game
Hallow Maze,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",Action,,https://www.youtube.com/watch?v=9mj8wYDiF-c,108,1,2025-03-21,PC Game (on Steam)
Neo Ha_Bits,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie","Action, Science fiction, Horror","exploration, cyberpunk, unique art style, controller support, free demo",N/A,N/A,N/A,N/A,PC Game (on Steam)
Advaria: Chronicles of Immortality,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Indie",Fantasy,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Escape of The Hammer Princess,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie",Action,,https://www.youtube.com/watch?v=PQ9SqYpYi50,71,8,2024-12-11,PC Game (on Steam)
Wind Runners,Main Game,2026-06-30,Ludic Studios,Ludic Studios,"PC (Microsoft Windows), Mac","Adventure, Indie",Action,"roguelike, steam achievements, steam cloud",https://www.youtube.com/watch?v=Z7YBXWmZeR0,90872,87,2026-01-22,PC Game (on Steam)
Aokaki,Main Game,2026-06-30,Concha Indigo,Minicactus Games,PC (Microsoft Windows),"Platform, Adventure, Indie",Action,,https://www.youtube.com/watch?v=oAYXVj9Dq48,784,69,2025-05-05,PC Game (on Steam)
The Devil's Due,Main Game,2026-06-30,Games People Play,Games People Play,PC (Microsoft Windows),"Strategy, Indie, Card & Board Game",,"hell, poker, demons, devil, steam achievements, steam cloud, controller support, roguelite, card battler",https://www.youtube.com/watch?v=LzEGxblhvMo,11320,79,2025-05-25,PC Game (on Steam)
Zerra's Adventure,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Terradune,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Role-playing (RPG), Adventure, Indie",Action,"controller support, nextfest june 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Deforb,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Indie",Action,"free demo, action roguelike",N/A,N/A,N/A,N/A,PC Game (on Steam)
Castlebound,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Adventure, Indie",Action,,https://www.youtube.com/watch?v=YpJhabqfR_0,1749,43,2025-09-16,PC Game (on Steam)
Innocence Rewrite,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Adventure, Indie",,nextfest june 2025,N/A,N/A,N/A,N/A,PC Game (on Steam)
The Shores of Stellaluna,Main Game,2026-06-30,Waite Industries,Waite Industries,PC (Microsoft Windows),Adventure,Sandbox,"sailing, atmospheric, procedurally generated, resource gathering, open world survival craft",N/A,N/A,N/A,N/A,PC Game (on Steam)
Papa Needs a Headshot,Main Game,2026-06-30,Phew Phew Games,GameDev.ist,"PC (Microsoft Windows), PlayStation 5","Shooter, Indie","Action, Science fiction, Horror",,https://www.youtube.com/watch?v=Gby63JW-oxI,59044,94,2026-03-12,PC Game (on Steam)
Talewarden: Riders of the New Day,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie, Visual Novel","Science fiction, Romance",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Golden Gambit,Main Game,2026-06-30,,,PC (Microsoft Windows),"Strategy, Arcade, Card & Board Game",,"slot machine, gambling simulation, ai-generated concepts, slots",https://www.youtube.com/watch?v=ar8cl0r5ypk,24,2,2025-08-16,PC Game (on Steam)
Cubex,Main Game,2026-06-30,,,PC (Microsoft Windows),Adventure,"Action, Horror",,https://www.youtube.com/watch?v=WZOc1v3Btp4,248,5,2026-05-28,PC Game (on Steam)
We Need an Army,Main Game,2026-06-30,,,PC (Microsoft Windows),Strategy,,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Hero of Sunset,Main Game,2026-06-30,Starfall Games,Flowing Dreams,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie","Action, Fantasy, Romance","exploration, female protagonist, multiple endings, colorful, controller support, dating sim, lgbtq",N/A,N/A,N/A,N/A,PC Game (on Steam)
Head Chef,Main Game,2026-06-30,,,"PC (Microsoft Windows), Mac","Simulator, Indie",,"restaurant, cartoony, controller support, food",N/A,N/A,N/A,N/A,PC Game (on Steam)
Broth Bounty,Main Game,2026-06-30,,,PC (Microsoft Windows),Indie,Action,nextfest june 2025,N/A,N/A,N/A,N/A,PC Game (on Steam)
Ogora,Main Game,2026-06-30,Oolcay Hitsay,,PC (Microsoft Windows),"Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game",Fantasy,"casual, magic, 2d, roguelike, procedural generation, nature, pve, dungeon crawling, pixel art, pixel graphics, relaxing, dungeon crawler, turn-based combat, choices matter, single-player only, roguelite, deck-building, pixelart, card battler",https://www.youtube.com/watch?v=xV9NhdwYxUw,153,7,2024-10-09,PC Game (on Steam)
Dino Citadel,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Strategy, Indie",,,https://www.youtube.com/watch?v=xoGe2zigdps,16,0,2025-09-09,PC Game (on Steam)
MineGeon: Renegades,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",Action,,https://www.youtube.com/watch?v=9IC_ZDLzJf8,90,5,2024-12-11,PC Game (on Steam)
Prelude Dark Pain,Main Game,2026-06-30,QUICKFIREGAMES,QUICKFIREGAMES,"PC (Microsoft Windows), Mac","Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie","Action, Fantasy","2d, dark fantasy",https://www.youtube.com/watch?v=_HI0nERb4P8,3555,118,2026-03-09,PC Game (on Steam)
Rogue Mansion,Main Game,2026-06-30,Almenara Games,Top Hat Studios,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Adventure, Indie","Action, Horror, Survival",roguelike,https://www.youtube.com/watch?v=xgtLoj14chA,833,30,2025-09-23,PC Game (Verification Error)
Breath of the Pasture,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Simulator",,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Gloom Punks,Main Game,2026-06-30,OneShark,Soft Source,"Linux, PC (Microsoft Windows)","Role-playing (RPG), Adventure, Indie",Action,"steam achievements, accessibility options, playable without timed input, stereo sound, custom volume controls, keyboard only option, surround sound",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Ruin: Beast City,Main Game,2026-06-30,DascuMaru,DascuMaru,PC (Microsoft Windows),"Hack and slash/Beat 'em up, Indie",Action,"assassin, controller support, nextfest february 2026",https://www.youtube.com/watch?v=dPVkbUSjK1o,190,13,2026-02-12,PC Game (Verification Error)
Athanasia,Main Game,2026-06-30,Momentum Games LLC,Neon Doctrine,PC (Microsoft Windows),"Shooter, Indie","Action, Science fiction, Horror","exploration, dinosaurs, metroidvania, survival horror, immersive",https://www.youtube.com/watch?v=J-gaOoLzTbo,778,45,2026-04-23,PC Game (Verification Error)
Grim Trials,Main Game,2026-06-30,Glory Jam,"Neon Doctrine, Soft Source",PC (Microsoft Windows),"Role-playing (RPG), Hack and slash/Beat 'em up",Action,"dungeon crawler, roguelite, action roguelite",https://www.youtube.com/watch?v=xM-tD7l2zi0,16,2,2026-02-22,PC Game (Verification Error)
Just A Shadow Game,Main Game,2026-06-30,"TripleBricksGames, Vietnam Indie Devs",TripleBricksGames,PC (Microsoft Windows),"Strategy, Indie, Card & Board Game","Action, Horror","psychological horror, roguelite, deckbuilder",https://www.youtube.com/watch?v=l777oiRgpOU,10246,371,2024-09-18,PC Game (Verification Error)
Trinity Archetype,Main Game,2026-06-30,Machinator Corp,Machinator Corp,"Linux, PC (Microsoft Windows)","Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie","Fantasy, Party","character customization, 2d, roguelike, class-based, party-based, hand-drawn, customization, skill tree, roguelite, party customization, turn-based rpg",https://www.youtube.com/watch?v=0WRP3azhrVM,1555,5,2025-07-10,PC Game (Verification Error)
Gowf: A Golf Adventure,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Sport, Adventure",,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Push Through Hell,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie",Action,"steam achievements, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (Verification Error)
The Shadow Cosmos,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Adventure, Indie",Action,"accessibility options, playable without timed input, stereo sound, custom volume controls, surround sound, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Glisynth,Main Game,2026-06-30,,,PC (Microsoft Windows),Indie,,"adjustable difficulty, accessibility options, stereo sound, custom volume controls, keyboard only option, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Shelf Life,Main Game,2026-06-30,,,PC (Microsoft Windows),"Simulator, Strategy, Adventure","Action, Horror","accessibility options, ai-generated concepts, save anytime, playable without timed input, stereo sound, custom volume controls, camera comfort, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (Verification Error)
One Fenix Down,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",,,https://www.youtube.com/watch?v=2KpfdN8ngDI,249,16,2026-05-28,PC Game (on Steam)
Twilight Protocol,Main Game,2026-06-30,,,PC (Microsoft Windows),Indie,"Action, Horror, Stealth, Mystery",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Adventures of Ruby Rabbit,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Pair-A-Dice,Main Game,2026-06-30,,,PC (Microsoft Windows),"Strategy, Indie",,"adjustable difficulty, accessibility options, playable without timed input, mouse only option, stereo sound, custom volume controls, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Arca,Main Game,2026-06-30,Jogarte,Jogarte,"Linux, PC (Microsoft Windows)","Racing, Indie",Action,nextfest june 2025,https://www.youtube.com/watch?v=qh287ZnEyFo,90,4,2025-08-04,PC Game (on Steam)
Dreaming Worlds,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Huni Kuin: Beya Xinã Bena,Main Game,2026-06-30,The Philosophical School of Games,QUByte Interactive,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Platform, Adventure, Indie",Action,"brazil, nudity, religious themes, indigenous",https://www.youtube.com/watch?v=bMIX6GTOgGE,404,18,2025-10-30,PC Game (on Steam)
PiPu Party,Main Game,2026-06-30,Em7,,"Linux, PC (Microsoft Windows), Mac","Platform, Puzzle, Indie","Action, Comedy, Party","puzzle platformer, online coop, online party game",https://www.youtube.com/watch?v=YoqyL5PVTCA,321,2,2025-10-15,PC Game (on Steam)
Nocturnal Visitors: Book One,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie",Mystery,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Abyssal Anarchy,Main Game,2026-06-30,Crazy Pigeons,Crazy Pigeons,PC (Microsoft Windows),Indie,"Action, Fantasy",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Imagine Future,Main Game,2026-06-30,,,PC (Microsoft Windows),Simulator,,,N/A,N/A,N/A,N/A,Non-Steam PC Game
Forsaken Lands,Main Game,2026-06-30,Lunisky Studio,Lunisky Studio,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Adventure, Indie",,,https://www.youtube.com/watch?v=7BG7JR599Z8,213,3,2025-11-20,PC Game (on Steam)
Wildsite,Main Game,2026-06-30,Vividdi Entertainment,,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",Action,open world survival craft,N/A,N/A,N/A,N/A,PC Game (on Steam)
Timberflow: Sawmill Simulator,Main Game,2026-06-30,Stillforge,QuantumPlay Studios,PC (Microsoft Windows),"Simulator, Strategy, Indie","Action, Business",,N/A,N/A,N/A,N/A,PC Game (on Steam)
Karate Rogue,Main Game,2026-06-30,Terry-do Games,Terry-do Games,PC (Microsoft Windows),"Role-playing (RPG), Indie",,"martial arts, roguelike, karate",https://www.youtube.com/watch?v=GGpnVkpHMic,610,5,2025-07-30,PC Game (on Steam)
Infinity Knights: Xross,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Role-playing (RPG), Adventure, Indie",Action,,https://www.youtube.com/watch?v=rUcK0cNmHfc,848,43,2026-05-29,PC Game (on Steam)
Golden Swirl,Main Game,2026-06-30,Snako Production,Snako Production,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Adventure, Indie",Action,"steam cloud, steam families",https://www.youtube.com/watch?v=mK7eXH45EXs,392,9,2025-11-27,PC Game (on Steam)
Ant Colony: Wild Forest,Main Game,2026-06-30,Pixel Cells,Pixel Cells,"Linux, Android, PC (Microsoft Windows), iOS","Real Time Strategy (RTS), Simulator, Strategy, Indie","Action, 4X (explore, expand, exploit, and exterminate)","ants, colony",https://www.youtube.com/watch?v=Mv5Hk1fk6Xs,4507,34,2025-06-07,PC Game (on Steam)
Ultra Damage,Main Game,2026-06-30,Sons of Welder,Sons of Welder,PC (Microsoft Windows),Indie,Action,"steam achievements, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Spacerocks,Main Game,2026-06-30,,,PC (Microsoft Windows),"Adventure, Indie",Action,"ai-generated artwork, nextfest june 2025",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Shield of Breaker,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Indie, Arcade",Action,"bullet hell, roguelite, action roguelike, action-rpg",https://www.youtube.com/watch?v=plzFt-n-rNY,783,4,2025-11-05,PC Game (on Steam)
Fallosophy,Main Game,2026-06-30,Reliable Plumbing Services,Reliable Plumbing Services,PC (Microsoft Windows),"Platform, Pinball, Adventure, Indie",Action,"pinball, philosophical, rage",https://www.youtube.com/watch?v=02U2MTCoH4I,1291,24,2025-12-05,PC Game (on Steam)
Ice Cream Simulator,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Simulator, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Milo,Main Game,2026-06-30,ammoburger,ammoburger,PC (Microsoft Windows),"Shooter, Indie","Action, Horror","zombies, action roguelike",https://www.youtube.com/watch?v=I93DGE7XWXs,914,27,2023-11-19,PC Game (on Steam)
Nomad Drive,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows)","Simulator, Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Game Quest: The Backlog Battler,Main Game,2026-06-30,,,PC (Microsoft Windows),"Simulator, Hack and slash/Beat 'em up, Indie, Arcade",Action,nextfest october 2025,https://www.youtube.com/watch?v=P9S-55N8br8,1322,11,2025-12-09,PC Game (on Steam)
Woodrot,Main Game,2026-06-30,The Midnight Token,The Midnight Token,PC (Microsoft Windows),"Point-and-click, Adventure",,"exploration, surrealism, surreal",https://www.youtube.com/watch?v=0UnX193XaG0,216,19,2025-12-10,PC Game (on Steam)
Hollow Stories: Lockdown,Main Game,2026-06-30,Hollow Sense,Hollow Sense,"Linux, PC (Microsoft Windows)","Adventure, Indie","Action, Horror","police, noir, conspiracy, survival horror, inventory management, cult, fixed camera, deliberately retro, controller support, ai-generated voices, police station",https://www.youtube.com/watch?v=zWhm44xriJg,293,12,2025-12-10,PC Game (on Steam)
Cheat Death,Main Game,2026-06-30,GG Studio,GG Studio,PC (Microsoft Windows),"Simulator, Indie, Card & Board Game",Horror,"dice, roguelite",https://www.youtube.com/watch?v=VsLHfaZyu10,656,13,2025-09-16,PC Game (on Steam)
Shoe it All!,Main Game,2026-06-30,Amberbite Games,,"Android, PC (Microsoft Windows), iOS, Mac, Nintendo Switch","Adventure, Indie",,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Prism Warriors DX,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac",Indie,Action,nextfest june 2025,https://www.youtube.com/watch?v=Hg0-a_VKbqA,50,3,2024-05-20,PC Game (on Steam)
Time Travel Train,Main Game,2026-06-30,,,PC (Microsoft Windows),,Action,,N/A,N/A,N/A,N/A,PC Game (Verification Error)
FamCram,Main Game,2026-06-30,,,PC (Microsoft Windows),"Puzzle, Indie",,"accessibility options, save anytime, playable without timed input, touch only option, keyboard only option",N/A,N/A,N/A,N/A,PC Game (Verification Error)
Oddli: A Satisfying Game,Main Game,2026-06-30,,,"PC (Microsoft Windows), Mac",,,nextfest june 2025,N/A,N/A,N/A,N/A,PC Game (Verification Error)
Nowhere Manor,Main Game,2026-06-30,"Monaramis, Time Galleon",Time Galleon,"Linux, PC (Microsoft Windows), Mac","Adventure, Indie",Fantasy,"gothic, dark fantasy, demons, hand-drawn",N/A,N/A,N/A,N/A,PC Game (on Steam)
Not Only Nine,Main Game,2026-06-30,Larryzaur,Larryzaur,PC (Microsoft Windows),"Role-playing (RPG), Adventure, Indie",,,https://www.youtube.com/watch?v=Vz61LhH-s2s,29145,2163,2022-10-29,PC Game (on Steam)
Mobile Phone Shop Simulator,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Simulator, Indie",,"ai-generated artwork, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Lucipurr,Main Game,2026-06-30,,,PC (Microsoft Windows),"Strategy, Adventure",Action,"ai-generated artwork, nextfest june 2025",https://www.youtube.com/watch?v=dY4D435dnW0,207,9,2025-04-23,PC Game (on Steam)
LlamaRPG: Farm to Fable,Main Game,2026-06-30,,Llama Gaming Studio,"Linux, PC (Microsoft Windows), Mac","Role-playing (RPG), Turn-based strategy (TBS), Adventure, Indie","Fantasy, Comedy, Open world","crafting, jrpg, online multiplayer, indie developer, offline, japanese rpg, online game, turn-based rpg, llamarp",N/A,N/A,N/A,N/A,PC Game (on Steam)
Atarayo no Kanojo,Main Game,2026-06-30,,,PC (Microsoft Windows),"Indie, Visual Novel",,,N/A,N/A,N/A,N/A,Non-Steam PC Game
Galactic Diner,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows), Mac","Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Eternal Mist,Main Game,2026-06-30,Rionix,Rionix,"Linux, PC (Microsoft Windows)","Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy, Tactical, Indie","Fantasy, Warfare","tower defense, real time tactics, female protagonist, war, stylized, cute, pixel graphics, combat, hand-drawn, rpg elements",https://www.youtube.com/watch?v=rr5jymbb8AI,89,5,2024-05-22,PC Game (on Steam)
Daomei Village,Main Game,2026-06-30,Gameparic,"Gameparic, PlayWay S.A., Games Incubator",PC (Microsoft Windows),"Role-playing (RPG), Simulator, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Death In Your Dice,Main Game,2026-06-30,umrę,,PC (Microsoft Windows),"Puzzle, Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie","Horror, Thriller, Sandbox, Mystery","dice, gmtk game jam 2022, bombs, dice game",N/A,N/A,N/A,N/A,PC Game (on Steam)
Covenant 21,Main Game,2026-06-30,,,PC (Microsoft Windows),,,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Circle of Bosses,Main Game,2026-06-30,,,"Linux, PC (Microsoft Windows)","Role-playing (RPG), Strategy",,"steam achievements, accessibility options, ai-generated music, save anytime, adjustable text size, playable without timed input, stereo sound, custom volume controls, nextfest october 2025",N/A,N/A,N/A,N/A,PC Game (on Steam)
Barbarization,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Strategy, Adventure, Indie",Action,,https://www.youtube.com/watch?v=8xV2bZ2ZRdU,23,2,2024-09-03,PC Game (on Steam)
Abyss Ring,Main Game,2026-06-30,,,PC (Microsoft Windows),"Role-playing (RPG), Indie",Action,"roguelike, action roguelike, ai-generated translations, ai-generated interface",https://www.youtube.com/watch?v=QxWPIpB6pNY,52,6,2025-02-08,PC Game (on Steam)
Fantastic Haven,Main Game,2026-06-30,,Goblinz Publishing,"Linux, PC (Microsoft Windows), Mac","Simulator, Strategy, Indie",Fantasy,,https://www.youtube.com/watch?v=w2e3MkRzVh8,3201,55,2024-06-08,PC Game (on Steam)
Cleaner Company,Main Game,2026-06-30,Wildflame Studio,Mythwright,PC (Microsoft Windows),"Simulator, Adventure, Indie",,nextfest june 2025,https://www.youtube.com/watch?v=X0zqXVErf_M,1589,14,2026-03-18,PC Game (on Steam)
Operation Zero,Main Game,2026-06-30,Pixeljam,Pixeljam,"PC (Microsoft Windows), Mac",Indie,Action,pixel graphics,N/A,N/A,N/A,N/A,PC Game (on Steam)
Pight,Main Game,2026-06-30,Mindlabor,Mindlabor,"Linux, Android, PC (Microsoft Windows), iOS, Mac","Puzzle, Indie",,"casual, 2d, stylized, cute, cartoon graphics, abstract, atmospheric, relaxing, family friendly, colorful, logic puzzle",N/A,N/A,N/A,N/A,PC Game (on Steam)
MegaBattle,Main Game,2026-06-30,MadCat Corp,MadCat Corp,PC (Microsoft Windows),"Strategy, Adventure, Indie",Action,,N/A,N/A,N/A,N/A,PC Game (on Steam)
Delverium,Main Game,2026-06-30,Sagestone Games,Sagestone Games,PC (Microsoft Windows),"Adventure, Indie","Action, Survival","farming simulator, open world survival craft",https://www.youtube.com/watch?v=HS9vQiWgou8,1707,29,2026-02-11,PC Game (on Steam)
